Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Max CPC Bid Limit,Networks,Languages,Location
Kozbeyli | Marka | Search,Search,Paused,148.00,Daily,Maximize clicks,6.00,Google search,Turkish,"Foça, İzmir; İzmir; Manisa; İstanbul; Ankara; Bursa"
Kozbeyli | NonBrand | Search,Search,Paused,296.00,Daily,Maximize clicks,6.00,Google search,Turkish,"Foça, İzmir; İzmir; Manisa; İstanbul; Ankara; Bursa"
Kozbeyli | Test | Search,Search,Paused,49.00,Daily,Maximize clicks,6.00,Google search,Turkish,"Foça, İzmir; İzmir; Manisa; İstanbul; Ankara; Bursa"
